county_cap,regular_ui,pua_new,pua_reclassified,peuc_claims
ALLEGANY,15,0,0,0
ANNE ARUNDEL,407,0,0,0
BALTIMORE,444,0,0,0
BALTIMORE CITY,473,0,0,0
CALVERT,70,0,0,0
CAROLINE,9,0,0,0
CARROLL,49,0,0,0
CECIL,26,0,0,0
CHARLES,164,0,0,0
DORCHESTER,16,0,0,0
FREDERICK,93,0,0,0
GARRETT,10,0,0,0
HARFORD,87,0,0,0
HOWARD,146,0,0,0
KENT,2,0,0,0
MONTGOMERY,261,0,0,0
NON-MARYLAND,192,0,0,0
PRINCE GEORGES,304,0,0,0
QUEEN ANNES,16,0,0,0
SOMERSET,3,0,0,0
ST MARYS,36,0,0,0
TALBOT,9,0,0,0
Unknown,44,0,0,0
WASHINGTON,45,0,0,0
WICOMICO,27,0,0,0
WORCESTER,10,0,0,0
